status	source_video	result_video	artifacts_dir	data_dir	track_id	frame_count	kept	avg_bbox_area	avg_confidence	first_frame_idx	last_frame_idx	quality_pass	quality_note	error
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0108	54	1	12225.65	0.7451	661	723	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0109	1	0	5834.67	0.3578	661	661	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0110	59	1	9532.87	0.5666	665	723	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0111	7	0	7876.74	0.4200	668	674	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0112	13	0	6001.13	0.4512	671	684	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0113	4	0	4700.97	0.3832	699	702	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0114	11	0	10040.30	0.4307	701	714	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0115	21	1	8850.19	0.5823	703	723	0	borderline_short	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0001	115	1	296283.23	0.9004	1	115	1	ok	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0002	33	1	52960.31	0.7742	1	33	1	ok	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0003	1	0	13368.52	0.6262	1	1	0	too_short	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0004	37	1	37401.36	0.7734	1	37	1	ok	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0005	15	0	24738.42	0.5099	1	15	0	too_short	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0006	37	1	11461.37	0.5080	2	42	1	ok	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0007	1	0	6536.21	0.3825	12	12	0	too_short	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0008	54	1	32395.10	0.7638	18	72	1	ok	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0009	7	0	15644.21	0.4333	21	29	0	too_short	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0010	7	0	6883.49	0.4180	23	31	0	too_short	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0011	14	0	5149.89	0.4847	29	55	0	too_short	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0012	13	0	6087.25	0.4158	36	59	0	too_short	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0013	13	0	6110.06	0.4610	36	48	0	too_short	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0014	21	1	6005.19	0.4572	38	70	0	borderline_short	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0015	63	1	51516.39	0.7837	53	115	1	ok	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0016	9	0	6163.77	0.4584	53	75	0	too_short	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0017	58	1	6126.89	0.5874	56	115	1	ok	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0018	10	0	6248.83	0.4452	60	86	0	too_short	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0019	10	0	6209.20	0.4204	64	91	0	too_short	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0020	37	1	22153.52	0.6904	79	115	1	ok	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0021	34	1	10125.95	0.5451	82	115	1	ok	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0022	1	0	3149.55	0.3502	88	88	0	too_short,small_bbox	
skipped	IMG_9882.MOV	outputs/IMG_9882_result.mp4	artifacts/IMG_9882	data/IMG_9882	0023	10	0	5260.42	0.4069	101	115	0	too_short	
skipped	IMG_9883.MOV	outputs/IMG_9883_result.mp4	artifacts/IMG_9883	data/IMG_9883	0001	153	1	114683.07	0.8571	1	153	1	ok	
skipped	IMG_9883.MOV	outputs/IMG_9883_result.mp4	artifacts/IMG_9883	data/IMG_9883	0002	8	0	78736.85	0.6516	1	8	0	too_short	
skipped	IMG_9883.MOV	outputs/IMG_9883_result.mp4	artifacts/IMG_9883	data/IMG_9883	0003	98	1	10905.02	0.6557	19	117	1	ok	
skipped	IMG_9883.MOV	outputs/IMG_9883_result.mp4	artifacts/IMG_9883	data/IMG_9883	0005	1	0	6096.32	0.5459	68	68	0	too_short	
skipped	IMG_9883.MOV	outputs/IMG_9883_result.mp4	artifacts/IMG_9883	data/IMG_9883	0006	80	1	188216.44	0.8601	87	166	1	ok	
skipped	IMG_9883.MOV	outputs/IMG_9883_result.mp4	artifacts/IMG_9883	data/IMG_9883	0007	23	1	7532.83	0.5423	91	113	0	borderline_short	
skipped	IMG_9883.MOV	outputs/IMG_9883_result.mp4	artifacts/IMG_9883	data/IMG_9883	0008	205	1	100172.04	0.8583	110	314	1	ok	
skipped	IMG_9883.MOV	outputs/IMG_9883_result.mp4	artifacts/IMG_9883	data/IMG_9883	0009	53	1	8070.85	0.5739	138	212	1	ok	
skipped	IMG_9883.MOV	outputs/IMG_9883_result.mp4	artifacts/IMG_9883	data/IMG_9883	0010	6	0	6594.12	0.4487	139	144	0	too_short	
skipped	IMG_9883.MOV	outputs/IMG_9883_result.mp4	artifacts/IMG_9883	data/IMG_9883	0011	127	1	7933.99	0.4935	161	314	1	ok	
skipped	IMG_9883.MOV	outputs/IMG_9883_result.mp4	artifacts/IMG_9883	data/IMG_9883	0012	133	1	51284.74	0.8168	182	314	1	ok	
skipped	IMG_9883.MOV	outputs/IMG_9883_result.mp4	artifacts/IMG_9883	data/IMG_9883	0013	54	1	10675.44	0.5234	209	274	1	ok	
skipped	IMG_9883.MOV	outputs/IMG_9883_result.mp4	artifacts/IMG_9883	data/IMG_9883	0014	16	0	7149.64	0.4403	245	261	0	too_short	
skipped	IMG_9883.MOV	outputs/IMG_9883_result.mp4	artifacts/IMG_9883	data/IMG_9883	0015	14	0	6847.73	0.4295	253	295	0	too_short	
skipped	IMG_9883.MOV	outputs/IMG_9883_result.mp4	artifacts/IMG_9883	data/IMG_9883	0016	1	0	6505.02	0.3746	286	286	0	too_short	
skipped	IMG_9883.MOV	outputs/IMG_9883_result.mp4	artifacts/IMG_9883	data/IMG_9883	0017	1	0	7171.55	0.4174	314	314	0	too_short	
skipped	IMG_9884.MOV	outputs/IMG_9884_result.mp4	artifacts/IMG_9884	data/IMG_9884	0001	10	0	73841.08	0.6527	1	10	0	too_short	
skipped	IMG_9884.MOV	outputs/IMG_9884_result.mp4	artifacts/IMG_9884	data/IMG_9884	0002	90	1	155075.88	0.8432	1	90	1	ok	
skipped	IMG_9884.MOV	outputs/IMG_9884_result.mp4	artifacts/IMG_9884	data/IMG_9884	0003	8	0	7829.32	0.5653	1	8	0	too_short	
skipped	IMG_9884.MOV	outputs/IMG_9884_result.mp4	artifacts/IMG_9884	data/IMG_9884	0004	39	1	15673.04	0.7697	2	40	1	ok	
skipped	IMG_9884.MOV	outputs/IMG_9884_result.mp4	artifacts/IMG_9884	data/IMG_9884	0005	9	0	5582.75	0.4513	15	30	0	too_short	
skipped	IMG_9884.MOV	outputs/IMG_9884_result.mp4	artifacts/IMG_9884	data/IMG_9884	0006	65	1	8362.38	0.6067	26	90	1	ok	
skipped	IMG_9884.MOV	outputs/IMG_9884_result.mp4	artifacts/IMG_9884	data/IMG_9884	0007	7	0	5135.39	0.4400	34	44	0	too_short	
